No.,Texto
68,"Si la violencia se mide por tasa de homicidios, entonces, los dos últimos años se ha reducido.en Colombia, respecto a la que dejó Duque el último año. Aunque el presidente quiere reducirla más; el promedio nacional es mejor que el de el año 2022 y en regiones como Medellín y la mayor parte del país es muy exitoso el fin de la violencia.

Así que el Consejo Gremial está desinformando a la opinión pública de Colombia. Les pido dejar de ser contraevidentes.

La paz de Colombia necesita datos objetivos y seriedad."
69,"El Magdalena medio fue la región del desarrollo del paramilitarismo contemporáneo. Su aparición se debe a la voluntad del gran narcotráfico colombiano a principios de los 80 de quedarse con la tierra fertil del Magdalena Medio para lavar los dólares que ya no podía guardar en Panamá.

Pablo Escobar y Gonzalo Rodríguez, tuvieron allí sus mayores haciendas. Y de una región campesina y de selvas, pasamos a grandes praderas desocupadas.

El Magdalena Medio debe volver a producir.  El programa de reforma agraria no ha avanzado mucho allí, por las normas vigentes y debe avanzar. Si la tierra del Magdalena Medio vuelve a producir alimentos y alejarse de la ganadería extensiva, disminuirá en mucho, el cultivo de hoja de Coca en áreas selváticas y aumentará en mucho la riqueza nacional.

Las tierras de la SAE en el Magdalena Medio deben entregarse de inmediato al campesinado, y la ANT debe concentrar esfuerzos en compra de tierras en el Caribe y el Magdalena Medio.

Invito a los hacendados de la región a buscar los programas del gobierno para la venta de sus tierras a cambio del mejoramiento de sus ganaderías para alcanzar más intensividad productiva por hectárea.

Han muerto alias ""Zeus"" y alias ""Terror"", durante mi gobierno,  eran los jefes del nuevo paramilitarismo en la región; el primero era un exoficial de la policía qué fue liberado en Cúcuta por miembros de la policía misma, mostrando la articulación entre gente de la institución y el clan del golfo. Por eso vemos en Cúcuta tanta criminalidad. Zeus murió en acción de la fuerza  pública, pero aun no se encuentra su agenda en donde guardaba sus contactos de uniformados de la institución a la que perteneció.

El señor Isaza, ""era el hijo de un paramilitar muy famoso de la zona, que decidió firmar la paz.

Querían revivir con ayuda de terratenientes de la extrema derecha y empresas oscuras de seguridad, el viejo paramilitarismo. Esa época debe terminar definitivamente en el país.

Si los campos vuelven a cultivar y llenarse de gente trabajadora, habrá mucha más seguridad que con grande campos de estepas desocupadas que pudiendo producir riqueza, solo son tenencia improductiva hoy"
70,"Han muerto 8 soldados de la patria y del pueblo colombiano en accidente de tránsito en Nariño. Un muy lamentable accidente. A todos sus familiares les presento mis condolencias. Ustedes le entregan a un presidente, a una institución y a un estado sus hijos y debo tratar que vuelvan de regreso vivos y sanos, mucho mejores que como entraron.

Lo siento mucho."
71,"Vuelve a amenazar @Lykanista. Señores @FiscaliaCol tienen ustedes un problema de seguridad nacional. Espero resultados prontos. En un país democrático, no se amenaza de muerte a un.presidente elegido libremente por el pueblo."
72,"Señores @FiscaliaCol esta cuenta @Lykanista continuamente amenaza de muerte de manera sistemática a personas que piensan diferente a él. La seguridad y la vida de muchos militantes políticos y sociales y ciudadanos en general, se ha puesto en peligro por este individuo que pertenece a facciones neonazis.

Les solicito iniciar investigación de inmediato y, a quienes han recibido amenazas de él, denunciar a través del teléfono 157. La denuncia por allí es denuncia oficial ante la fiscalía, que toda ciudadana o ciudadano puede usar sin ir hasta la fiscalía.

Este es uno de los avances del gobierno del cambio en la lucha contra la corrupción y en general el delito."
73,"En el marco de una operación policial de *inteligencia e investigación criminal*, se produjo el abatimiento de *Oliverio Isaza Gómez, alias 'Terror'*, cabecilla de la estructura Magdalena Medio de las AGC (GAO Clan del Golfo). Siento que el hijo de un paramilitar que hizo la paz, esté de nuevo sobre las armas y haya muerto bajo ellas, aupado por los terratenientes de la región. Ya el nuevo grupo armado paraterrateniente  había asesinado  a varios miembros del pacto histórico de la región.

Lo operación se llevó a cabo hoy 22/02/2025, en zona rural de San Luis (Ant), donde *además fallecieron 5 delincuentes más.

Este es un resultado de alta trascendencia, se trata de un delincuente que tenía un *arraigo criminal de más 35 años* y un prontuario criminal grande _-hijo de Ramón Isaza-_, *asociado principalmente al narcotráfico.

El camino ds Colombia es la paz y la vida. El narco solo trae hijos muertos.
"
74,"Exorcizar la violencia y exorcizar la desigualdad, porque ambos términos en lengua colombiana son sinónimos."
75,"Y seguimos entregando al tierra de los narcos al campesinado de Colombia. Esta vez en Ambalema, Tolima. Fue en Chicoral, Tolima, donde Misael Pastrana acabó con la reforma agraria y comenzó la nueva violencia en Colombia. Ahora volvemos por la paz. Primero que los campesinos tengan tierra para cultivar alimentos. Esa es la paz."
76,"Desmantelar las fuerzas armadas y de policía lo hacen quienes las llevan a fusilar jóvenes inocentes o las llevan a tomar barrios populares para que después, las mafias desaparezcan 400 personas. Por eso el gobierno apoya y conduce el gran pacto de paz entre bandas juveniles en el valle de Aburrá, que se construye desde Itaguí."
77,Quien es el comandante en jefe de las fuerzas militares y jefe de gobierno es el presidente de la república. Este presidente jamás pondrá mandos civiles o militares que estén dispuestos a aceptar masacres contra jóvenes hechas desde el gobierno. Ni dará jamás una orden en ese sentido.
78,"Las normas de Colombia dicen que las órdenes de extradición pueden cesar si los procesos de paz demuestran avances de importancia. El avance se mide en el desmantelamiento de la economía ilícita y en el respeto a los derechos de la población El proceso con el frente33 en Catatumbo, el proceso con :comuneros del sur"" en Nariño, el proceso con las agrupaciones descendientes del frente de Gentil Duarte, el proceso de paz con las bandas del valle de Aburrá en Itaguí han avanzado profundamente.

La agrupación ""Comandos de la frontera"" aún debe demostrar que esta decidido a avanzar en el camino de la paz. Si es así, yo mismo haré operar la que cobija a quienes avanzan en serio en la paz.

Con quienes han decidido abandonar el camino de la paz: los frentes de Iván Mordisco en el Cauca, en el Guaviare y en Arauca, que ahora se matan entre sí, y los frentes del ELN, las agrupaciones del Clan del Golfo y diversas bandas locales, reciben no solo el repudio del pueblo, sino la acción militar del estado.

A quienes avanzan en la paz, les corresponde ahora  concentrarse en regiones para alistarse al paso definitivo: que se mide en al transformación de la región, en su prosperidad que pasará a tramitarse a partir de pactos sociales regionales, Conpes presupuestales y declaraciones unilaterales de estado ante el consejo de seguridad de  Naciones Unidas para asegurar el cumplimiento del estado y para hacer los tránsitos jurídicos de quienes han pprtado armas a la vida civil y legal."
79,"Instalamos un hospital de segundo nivel en el Plateado, Cauca. La paz es llevar los derechos del pueblo a los territorios excluídos del país."
80,"¿Quieren saber porque solo suben los homicidios en los puertos y en Bogotá, y en las demás regiones del país bajan? 

Porque en los puertos hay una complicidad entre secciones del estado y las grandes mafias de la cocaína y el contrabando. 

Las bandas de la cocaína y el contrabando están unidas.
Sale por los puertos la mayoría de la cocaína de Colombia y los dólares de su venta en el extranjero, vuelven en parte, transformados en mercancías de contrabando para lavar el dinero y convertirlo en pesos.

Las mafias se vuelven así multinacionales y usan el sistema financiero internacional que no es investigado.

En ese tránsito, numerosas bandas de jóvenes sin oportunidades, prestan sus servicios a las grandes bandas, para guardar mercancía, cargar barcos de drogas y se enfrentan a muerte entre sí por estos mercados clandestinos. Así aumenta la violencia.

El microtráfico y la extorsión sirven de complementos económicos y así entre los choques de bandas, aumenta la tasa de homicidios 

Desmontar eso, implica una fiscalía que investigue a fondo, hasta la últimas consecuencias y la acción de mi gobierno.

La policía, la Dian y las Aduanas deben tener una reestructuración a fondo que las deslinde de toda criminalidad.

La presencia de miembros de la clase política en asocio a estas bandas del contrabando ha servido para una legislación proclive a la importación de contrabando que sale con sellos oficiales y es cuidado por la Polfa.

Como ya lo había demostrado antes, la  criminalidad aumenta porque encuentra apoyos estatales. Es por eso que según, Diego Marín, se encuentran 11 exgenerales de la policía vinculados al contrabando."
81,"Puede Antonio García atacarme lo que quiera e intantar matarme si lo desea; muchos revolucionarios han muerto bajo balas del ELN. Pero la historia es la historia y no perdona. La nueva generación del ELN decidió manchar la bandera del ELN con cocaína y ya no la entiende, no sabe que significa.

Rojo y negro significa Libertad o Muerte y las mafias son la esclavitud contra el pueblo.

Ustedes permitieron que los traquetos levanten la bandera roji/negra y no les importó la sotana de Camilo Torres Restrepo, que aun guardo, la volveré patrimonio nacional y estará en la sala d ela revolución de la casa de Nariño donde espero el pueblo llegue.

Asociados a los peores traquetos, ustedes usaron sus métodos, asesinaron al campesino, les quitaron sus tierras, los desplazan por decenas de miles, compran al oficial para que no los ataquen, compran al de la guardia venezolana, pero no para liberar al pueblo, sino para esclavizarlo en asocio de sus compinches de México que tambien asesinan a su propio pueblo.

Su tráfico, el que hace la EFER clandestina hasta del mismo ELN, ha destruido el pueblo de Haití, que nos dio la libertad, esclaviza al pueblo venezolano, que dicen ustedes defender, pero que cada vez se pone más en su contra y esclaviza y asesina al pueblo colombiano del Catatumbo.

Esa es la historia con la que quiso usted morir, renunció usted a la revolución, a la poesía, no se puede hacer poesía matando humildes, y por eso no hay poetas nazis, renunció  a Camilo Torres Restrepo y su fé en el amor eficaz, trajo odio y muerte, que es todo lo contrario, en su acción para sabotear la paz mató al ELN revolucionario, a la vida de tantos jovenes entregados por cambiar el mundo, traicionó al campesinado que lo apoyó y que ahora, usted permite que asesinen.

La historia es la que habla y es implacable. Recuerde  Bateman que decía: nos pueden perdonar errores, pero no la incoherencia.

Es en la paz y en el amor eficaz donde esta la revolución, no está en los bolsillos llenos de dólares de sus socios traquetos mexicanos o de cualquier lugar, ellos no son sino el lumpen del capitalismo, Camilo Torres Restrepo era la vanguardia de una nueva humanidad."
